provincia;partido;nombre
Salamanca;PP;Alfonso Fernández Mañueco
Avila;PP;José Francisco Hdez. Herrero
León;PP;Ricardo Gavilanes
Avila;PP;Maria de los Angeles Prieto
Avila;PP;Miguel Ángel Garcia Nieto
Burgos;PP;Angel Ibáñez Hernando
Burgos;PP;Alejandro Vázquez Ramos
Burgos;PP;Inmaculada Ranedo Gómez
Burgos;PP;Emilio José Berzosa Peña
León;PP;Juan Carlos Suárez-Quiñones
León;PP;Beatriz Coelho Luna
León;PP;David Fernández Menéndez
Palencia;PP;Carlos Fernández Carriedo
Palencia;PP;María José Ortega Gómez
Palencia;PP;Mercedes Cófreces Martin
Salamanca;PP;Carmen Sánchez Bellota
Salamanca;PP;Rosa Esteban Ayuso
Segovia;PP;Maria Angeles Garcia Herrero
Soria;PP;Rocio Lucas Navas
Valladolid;PP;Jesús Julio Carnero
Valladolid;PP;Raúl de la Hoz Quintano
Segovia;PP;Francisco Vázquez Requero
Segovia;PP;José Luis Sanz Merino
Valladolid;PP;Noemi Rojo Sahagún
Valladolid;PP;Ramiro Ruiz Medrano
Zamora;PP;Isabel Blanco Llamas
Zamora;PP;Leticia Garcia Sánchez
Zamora;PP;Óscar Reguera Acevedo
Avila;PSOE;Eugenio Miguel Hdez. Alcojor
Avila;PSOE;Soraya Blázquez Dominguez
Leon;PSOE;Diego Moreno Castrillo
Palencia;PSOE;Jesús Guerrero Arroyo
Burgos;PSOE;Luis Tudanca
Burgos;PSOE;Virginia Jiménez Campano
Palencia;PSOE;Consolación Pablos Labajo
Palencia;PSOE;Rubén Illera Redón
Burgos;PSOE;Luis Briones Martinez
Salamanca;PSOE;José María Sánchez Martin
Salamanca;PSOE;Raúl Hernández López
León;PSOE;Nuria Rubio Garcia
León;PSOE;Javier Campos de la Fuente
León;PSOE;Yolanda Sacristán Rodríguez
Burgos;PSOE;Noelia Frutos Rubio
Burgos;PSOE;Jesús Puente Alcaraz
Salamanca;PSOE;Fernando Pablos Romo
Salamanca;PSOE;Rosa Maria Rubio Martin
Salamanca;PSOE;Juan Luis Cepa Álvarez
Segovia;PSOE;José Luis Vázquez Fernández
Segovia;PSOE;Alicia Palomo Sebastián
Valladolid;PSOE;Patricia Gómez Urbán
Valladolid;PSOE;Pedro Luis González Reglero
Valladolid;PSOE;Laura Pelegrina Cortijo
Valladolid;PSOE;José Francisco Martin Martinez
Valladolid;PSOE;Isabel Gonzalo Ramirez
Zamora;PSOE;Ana Sánchez Hernández
Zamora;PSOE;José Ignacio Martin Benito
Soria;PSOE;Ángel Hernández Martinez
Burgos;Vox;Ana Rosa Hernando Ruiz
León;Vox;Carlos Pollan Fernández
León;Vox;Miguel Suárez Arca
Palencia;Vox;David Hierro Santos
Salamanca;Vox;Carlos Menéndez Blanco
Salamanca;Vox;Teresa Rodriguez Vidal
Segovia;Vox;Susana Suárez Villagrá
Zamora;Vox;Luisa Calvo Enríquez
Valladolid;Vox;Juan García-Gallardo Frings
Avila;Vox;José Antonio Palomo Martin
Burgos;Vox;Ignacio Sicilia Doménech
Valladolid;Vox;Fátima Pinacho Fernández
Valladolid;Vox;Fco. Javier Carrera Noriega
León;UPL;Luis Mariano Santos Reyero
León;UPL;Alicia Gallego González
Leon;UPL;José Ramón García Fernández
Soria;Soria ¡Ya!;José Angel Ceña Tutor
Soria;Soria ¡Ya!;Leila Vanessa García Macarrón
Soria;Soria ¡Ya!;Juan Antonio Palomar Sicilia
Zamora;PSOE;Inmaculada García Rioja
Valladolid;Cs;Francisco Igea
Valladolid;Unidas Podemos;Pablo Fernández
Avila;X Ávila;Pedro José Pascual Muñoz